대학,가게 이름,메뉴,주소,메뉴 평점,인터넷 평점,내 평점,총 내 평점
연세대 맛집,밀플랜비 연세대점,핫도그,서울 서대문구 연희로10길 80,-1,4.47,0.0,4.47
연세대 맛집,이디야커피 연세대점,카페,서울 서대문구 연세로12길 10,-1,4.44,0.0,4.44
연세대 맛집,메가커피 연세대공학원점,카페,서울 서대문구 연세로 50 연세대학교 공학원 지하1층 B187C호,-1,4.44,0.0,4.44
연세대 맛집,맥도날드연세대점,햄버거,서울 서대문구 연세로 33,-1,4.43,0.0,4.43
연세대 맛집,삼성웰스토리FS연세대신촌캠퍼스(학생회관)점,푸드코트,서울 서대문구 연세로 50-1 연세의료원,-1,4.42,0.0,4.42
연세대 맛집,도스마스 연세대점,"멕시코,남미음식",강원 원주시 흥업면 매남동길 1,-1,4.41,0.0,4.41
연세대 맛집,뚜레쥬르 원주연세대점,베이커리,강원 원주시 흥업면 연세대길 1,-1,4.41,0.0,4.41
연세대 맛집,샐러디 연세대점,"다이어트,샐러드",서울 서대문구 연세로 50 백양로 재창조 컴플렉스 지하1층,-1,4.38,0.0,4.38
연세대 맛집,고를샘 연세대학교,푸드코트,서울 서대문구 연세로 50 연세대학교 학생회관 1층,-1,4.37,0.0,4.37
연세대 맛집,오니기리와이규동 연세대후문점,오니기리,서울 서대문구 연희로 92,-1,4.34,0.0,4.34
연세대 맛집,써브웨이 연세대점,샌드위치,서울 서대문구 연세로 50-1 연세공학원,-1,4.28,0.0,4.28
연세대 맛집,파스쿠찌신촌연대점,카페,서울 서대문구 연세로 20 카페파스쿠찌,-1,4.24,0.0,4.24
연세대 맛집,준코노래타운 연세대점,요리주점,서울 서대문구 연세로4길 7,-1,4.07,0.0,4.07
연세대 맛집,연세대국제캠퍼스 학생식당,한식,인천 연수구 송도과학로 85 언더우드기념도서관 지하 1층 나눌샘식당,-1,4.0,0.0,4.0
성균관대 맛집,비언유주얼 삼청점,양식,서울 종로구 삼청로 96 2층,-1,4.89,0.0,4.89
성균관대 맛집,도스타코스 성균관대점,"멕시코,남미음식",서울 종로구 창경궁로29길 5 1층,-1,4.62,0.0,4.62
성균관대 맛집,제이네,양식,서울 종로구 율곡로1길 74-13,-1,4.59,0.0,4.59
성균관대 맛집,이삭토스트 서울성균관대점,토스트,서울 종로구 성균관로 18,-1,4.57,0.0,4.57
성균관대 맛집,일미리금계찜닭 수원 성균관대점,찜닭,경기 수원시 장안구 서부로2126번길 26 1층,-1,4.57,0.0,4.57
성균관대 맛집,써브웨이 서울성균관대점,샌드위치,서울 종로구 성균관로 25-2 성균관대학교600주년기념관 지하 1층,-1,4.56,0.0,4.56
성균관대 맛집,팔공티 성균관대점,차,서울 종로구 성균관로5길 9 1층 1호 팔공티,-1,4.55,0.0,4.55
성균관대 맛집,성균관대 학생식당,한식,서울 종로구 성균관로 41,-1,4.53,0.0,4.53
